symbol,name,close,pct_chg,vol_ratio,matched_rule,bandwidth,converged_mas,listing_days
sz301322,绿通科技,45.61,11.33,2.08,Rule_A_5Lines_Cluster,3.48,"MA20,MA10,MA5,MA120,MA60",321
sz000759,中百集团,8.47,10.0,1.58,Rule_A_5Lines_Cluster,3.23,"MA20,MA60,MA30,MA10,MA250",321
sz002162,悦心健康,4.51,10.0,3.87,Rule_A_5Lines_Cluster,1.86,"MA30,MA120,MA20,MA10,MA5",321
sh603328,依顿电子,12.1,10.0,1.95,Rule_A_5Lines_Cluster,3.01,"MA30,MA60,MA20,MA10,MA5",321
sh603421,鼎信通讯,6.63,9.95,2.31,Rule_A_5Lines_Cluster,2.89,"MA60,MA30,MA20,MA10,MA5",321
sz000988,华工科技,108.79,8.22,2.08,Rule_A_5Lines_Cluster,3.17,"MA5,MA10,MA30,MA250,MA20",321
sh688605,先锋精科,79.08,7.9,1.88,Rule_A_5Lines_Cluster,2.44,"MA10,MA30,MA5,MA20,MA120",321
sh600348,华阳股份,9.55,7.55,2.29,Rule_A_5Lines_Cluster,3.07,"MA120,MA30,MA5,MA20,MA10",321
sh601001,晋控煤业,17.6,6.8,1.58,Rule_A_5Lines_Cluster,1.58,"MA30,MA10,MA20,MA60,MA120",321
sz300487,蓝晓科技,67.18,6.63,1.75,Rule_A_5Lines_Cluster,2.74,"MA250,MA10,MA5,MA120,MA30",321
sz002121,科陆电子,5.26,5.84,2.87,Rule_A_5Lines_Cluster,1.9,"MA20,MA10,MA5,MA30,MA60",321
sh601008,连云港,4.83,5.69,2.49,Rule_A_5Lines_Cluster,3.16,"MA30,MA20,MA10,MA120,MA5",321
sz000690,宝新能源,5.41,5.66,2.09,Rule_A_5Lines_Cluster,3.1,"MA60,MA30,MA20,MA10,MA120",321
sz000807,云铝股份,29.03,5.6,1.61,Rule_A_5Lines_Cluster,3.25,"MA20,MA30,MA10,MA250,MA5",321
sh603051,鹿山新材,22.37,5.32,1.89,Rule_A_5Lines_Cluster,2.74,"MA30,MA20,MA10,MA5,MA120",321
sh603066,音飞储存,9.75,4.95,2.92,Rule_A_5Lines_Cluster,3.15,"MA30,MA20,MA10,MA5,MA60",321
sh605151,西上海,19.98,4.77,1.93,Rule_A_5Lines_Cluster,3.29,"MA30,MA5,MA20,MA10,MA120",321
