code,name,close,pct_chg,vol_ratio,matched_rule,status_tag,bandwidth(%),converged_mas,listing_days
300183,东软载波,11.39,9.2,3.56,4线向上汇聚,标准放量突破,1.16,"MA20,MA30,MA10,MA5",321
300410,正业科技,8.65,6.79,2.39,4线向上汇聚,标准放量突破,3.72,"MA30,MA20,MA10,MA5",321
002735,王子新材,13.23,5.84,2.35,4线向上汇聚,标准放量突破,3.66,"MA30,MA20,MA10,MA5",321
300292,吴通控股,4.59,5.03,2.36,4线向上汇聚,标准放量突破,2.23,"MA30,MA20,MA10,MA5",321
002617,露笑科技,6.64,4.57,1.77,4线向上汇聚,标准放量突破,1.93,"MA20,MA10,MA30,MA5",321
300121,阳谷华泰,10.06,4.14,2.37,4线向上汇聚,标准放量突破,1.02,"MA30,MA20,MA10,MA5",321
300099,尤洛卡,6.67,4.06,1.63,4线向上汇聚,标准放量突破,3.85,"MA20,MA30,MA10,MA5",321
000151,中成股份,10.66,3.39,2.69,4线向上汇聚,标准放量突破,2.77,"MA30,MA20,MA10,MA5",321
300565,科信技术,10.24,2.5,1.79,4线向上汇聚,标准放量突破,2.49,"MA30,MA20,MA5,MA10",321
603291,联合水务,9.32,2.31,1.51,4线向上汇聚,标准放量突破,1.67,"MA30,MA10,MA20,MA5",321
002600,领益智造,13.1,2.02,1.64,4线向上汇聚,标准放量突破,1.18,"MA20,MA30,MA10,MA5",321
600310,广西能源,4.9,1.66,2.13,4线向上汇聚,标准放量突破,2.53,"MA60,MA250,MA20,MA30",321
688267,中触媒,19.93,1.53,1.62,4线向上汇聚,标准放量突破,3.19,"MA30,MA20,MA10,MA5",321
000561,烽火电子,7.97,1.4,1.73,4线向上汇聚,标准放量突破,2.22,"MA30,MA20,MA10,MA5",321
603051,鹿山新材,22.78,1.06,1.46,4线向上汇聚,标准放量突破,2.24,"MA30,MA20,MA120,MA10",321
002560,通达股份,6.88,10.08,2.54,4线汇聚(涨停豁免向上),涨停+放量双共振,2.21,"MA20,MA30,MA10,MA5",321
002242,九阳股份,9.74,10.06,2.23,4线汇聚(涨停豁免向上),涨停+放量双共振,2.79,"MA60,MA10,MA20,MA30",321
605069,正和生态,11.5,10.05,2.01,4线汇聚(涨停豁免向上),涨停+放量双共振,0.62,"MA20,MA30,MA10,MA5",321
002848,高斯贝尔,15.24,10.04,3.13,4线汇聚(涨停豁免向上),涨停+放量双共振,3.55,"MA20,MA10,MA5,MA120",321
