code,name,total_score,close,pct_chg,vol_ratio,weekly_resonance,squeeze_status,chip_90(%),profit_ratio(%),matched_rule,status_tag,bandwidth(%),converged_mas,listing_days,bw_percentile(%)
600639,浦东金桥,100.0,9.85,4.56,2.45,周线极致收敛,极度挤压(蓄势),7.6,88.2,5线粘合汇聚,标准放量突破,1.2,"MA60,MA5,MA10,MA20,MA30",320,12.5
600449,宁夏建材,97.0,13.26,3.92,1.95,周线极致收敛,极度挤压(蓄势),11.0,82.4,5线粘合汇聚,涨停+放量双共振,1.67,"MA60,MA30,MA10,MA20,MA5",320,9.2
000498,山东路桥,97.0,5.05,2.23,1.88,周线极致收敛,极度挤压(蓄势),6.7,77.6,5线粘合汇聚,标准放量突破,0.55,"MA5,MA10,MA60,MA20,MA30",320,10.8
002120,韵达股份,97.0,6.97,1.9,1.82,周线极致收敛,窄轨即将变盘,8.8,89.1,5线粘合汇聚,标准放量突破,0.63,"MA60,MA30,MA20,MA5,MA120",320,13.3
688767,博拓生物,94.0,40.94,9.55,2.67,周线极致收敛,极度挤压(蓄势),10.1,90.6,5线粘合汇聚,标准放量突破,2.13,"MA120,MA60,MA20,MA10,MA5",320,5.8
600048,保利发展,94.0,5.32,5.56,2.2,周线极致收敛,极度挤压(蓄势),10.5,83.6,5线粘合汇聚,标准放量突破,2.31,"MA60,MA5,MA20,MA10,MA30",320,15.8
600675,中华企业,94.0,2.31,3.59,1.7,周线极致收敛,极度挤压(蓄势),8.8,75.4,5线粘合汇聚,标准放量突破,2.52,"MA60,MA5,MA10,MA30,MA20",320,38.3
000055,方大集团,94.0,3.75,1.9,1.2,周线极致收敛,极度挤压(蓄势),9.7,81.9,4线汇聚(涨停豁免向上),涨停蓄势(免放量),2.72,"MA120,MA30,MA20,MA10",320,15.8
301207,华兰疫苗,94.0,18.38,1.38,1.23,周线极致收敛,极度挤压(蓄势),9.5,80.8,5线粘合汇聚,涨停蓄势(免放量),2.55,"MA60,MA20,MA120,MA30,MA10",320,20.8
603336,宏辉果蔬,93.0,10.36,3.6,0.86,周线极致收敛,极度挤压(蓄势),17.8,89.8,4线汇聚(涨停豁免向上),涨停蓄势(免放量),1.79,"MA250,MA120,MA30,MA20",320,24.2
600649,城投控股,92.0,3.95,2.33,1.38,周线多头排列,极度挤压(蓄势),8.8,71.3,5线粘合汇聚,涨停蓄势(免放量),1.9,"MA5,MA120,MA30,MA20,MA10",320,40.8
002728,特一药业,91.0,9.64,3.88,1.54,周线极致收敛,窄轨即将变盘,9.1,85.7,5线粘合汇聚,标准放量突破,2.18,"MA20,MA60,MA30,MA10,MA5",320,12.5
300653,正海生物,91.0,15.14,2.16,1.64,周线极致收敛,极度挤压(蓄势),11.5,63.0,5线粘合汇聚,标准放量突破,2.41,"MA5,MA60,MA10,MA20,MA30",320,10.8
001328,登康口腔,91.0,29.98,1.18,0.89,周线极致收敛,极度挤压(蓄势),9.5,66.1,5线粘合汇聚,涨停蓄势(免放量),2.02,"MA60,MA20,MA30,MA5,MA120",320,8.3
688289,圣湘生物,91.0,16.04,1.07,1.67,周线极致收敛,极度挤压(蓄势),10.6,69.9,5线粘合汇聚,涨停+放量双共振,2.61,"MA60,MA20,MA5,MA30,MA10",320,10.8
688426,康为世纪,91.0,21.28,0.14,0.97,周线多头排列,极度挤压(蓄势),16.8,82.2,4线汇聚(涨停豁免向上),涨停蓄势(免放量),1.66,"MA30,MA5,MA10,MA20",320,1.7
301381,赛维时代,91.0,24.01,0.0,1.24,周线多头排列,极度挤压(蓄势),14.0,96.1,4线汇聚(涨停豁免向上),涨停蓄势(免放量),0.94,"MA10,MA30,MA20,MA5",320,18.3
920957,汉维科技,91.0,10.23,-0.68,1.29,周线极致收敛,极度挤压(蓄势),12.7,74.9,5线粘合汇聚,涨停蓄势(免放量),2.7,"MA30,MA10,MA20,MA5,MA120",320,33.3
601992,金隅集团,90.0,1.4,2.19,1.65,周线极致收敛,极度挤压(蓄势),10.7,50.6,5线粘合汇聚,标准放量突破,1.72,"MA5,MA60,MA10,MA20,MA30",320,19.2
600962,国投中鲁,90.0,26.31,1.7,1.21,周线极致收敛,极度挤压(蓄势),15.7,65.6,5线粘合汇聚,涨停蓄势(免放量),1.56,"MA60,MA10,MA20,MA5,MA30",320,2.5
603099,长白山,90.0,39.26,0.18,1.45,周线极致收敛,极度挤压(蓄势),6.9,75.3,5线粘合汇聚,标准放量突破,3.22,"MA60,MA5,MA10,MA20,MA30",320,29.2
605155,西大门,90.0,14.35,-0.35,0.59,周线极致收敛,极度挤压(蓄势),13.6,65.4,5线粘合汇聚,涨停蓄势(免放量),0.57,"MA5,MA20,MA120,MA30,MA10",320,6.7
600233,圆通速递,88.0,18.33,4.33,1.89,周线极致收敛,窄轨即将变盘,9.4,78.9,5线粘合汇聚,标准放量突破,2.73,"MA20,MA10,MA5,MA60,MA30",320,7.5
002748,世龙实业,88.0,12.32,2.5,1.31,周线多头排列,极度挤压(蓄势),11.2,90.1,5线粘合汇聚,涨停蓄势(免放量),3.41,"MA250,MA5,MA30,MA10,MA20",320,0.0
603995,甬金股份,88.0,26.04,2.44,1.07,周线多头排列,极度挤压(蓄势),17.3,94.7,4线汇聚(涨停豁免向上),涨停蓄势(免放量),2.44,"MA10,MA20,MA30,MA5",320,1.7
300158,振东制药,87.0,5.35,3.28,2.51,周线极致收敛,极度挤压(蓄势),10.9,50.5,4线汇聚(涨停豁免向上),涨停+放量双共振,2.62,"MA5,MA60,MA10,MA20",320,30.8
603296,华勤技术,87.0,80.35,1.07,1.35,周线极致收敛,极度挤压(蓄势),10.4,66.5,5线粘合汇聚,涨停蓄势(免放量),2.85,"MA120,MA10,MA20,MA5,MA60",320,2.5
603233,大参林,87.0,18.38,0.38,1.7,周线极致收敛,极度挤压(蓄势),10.1,69.1,5线粘合汇聚,标准放量突破,3.35,"MA250,MA60,MA30,MA10,MA20",320,4.2
