code,name,curr_close,line_price,distance_pct,ma_spread,drop_pct
002053,云南能投,9.43,9.29,1.48,1.85,33.45
002358,森源电气,5.38,5.3,1.44,2.77,43.25
002555,三七互娱,18.67,18.46,1.11,3.45,38.39
002116,中国海诚,7.32,7.25,1.01,3.19,21.79
300034,钢研高纳,16.34,16.19,0.94,2.69,35.81
002152,广电运通,9.85,9.76,0.93,1.37,30.63
002752,昇兴股份,6.2,6.14,0.91,2.95,34.53
002526,山东矿机,2.73,2.71,0.61,2.53,33.25
000541,佛山照明,4.96,4.93,0.57,1.02,23.46
300002,神州泰岳,8.29,8.25,0.48,2.91,40.49
300047,天源迪科,9.49,9.45,0.41,2.93,43.8
002075,沙钢股份,3.7,3.69,0.38,3.41,42.77
000572,海马汽车,3.91,3.9,0.38,3.18,63.49
002204,大连重工,5.17,5.15,0.35,2.11,36.84
000778,新兴铸管,3.71,3.7,0.3,2.01,29.27
002123,梦网科技,8.24,8.22,0.29,2.1,43.79
000035,中国天楹,4.83,4.82,0.28,1.91,43.6
002236,大华股份,16.31,16.27,0.25,1.17,22.45
000777,中核科技,16.99,16.98,0.04,2.27,45.51
002967,广电计量,17.67,17.68,-0.07,1.7,33.24
000799,酒鬼酒,39.38,39.45,-0.17,2.08,35.65
000544,中原环保,7.38,7.4,-0.21,0.58,20.56
002777,久远银海,12.94,12.98,-0.3,2.25,45.79
002410,广联达,8.86,8.89,-0.3,3.41,45.08
000709,河钢股份,2.1,2.11,-0.32,2.88,21.64
002467,二六三,4.78,4.8,-0.38,2.56,40.91
002302,西部建设,4.78,4.8,-0.45,3.38,29.39
002268,电科网安,14.22,14.29,-0.49,1.35,40.14
002959,小熊电器,32.42,32.58,-0.51,2.73,29.45
002597,金禾实业,21.07,21.18,-0.51,2.96,27.42
002917,金奥博,10.58,10.64,-0.57,1.68,29.47
002510,天汽模,5.72,5.75,-0.58,2.1,37.07
000789,万年青,4.17,4.2,-0.65,2.99,27.44
002097,山河智能,7.48,7.53,-0.69,1.8,42.58
000557,西部创业,3.73,3.76,-0.75,2.22,30.02
002351,漫步者,10.14,10.22,-0.77,3.41,23.88
002736,国信证券,10.26,10.34,-0.78,1.65,24.17
002178,延华智能,4.69,4.73,-0.8,3.26,36.1
000881,中广核技,6.64,6.69,-0.81,3.13,31.48
002454,松芝股份,5.11,5.15,-0.82,3.43,34.32
001233,海安集团,44.0,44.37,-0.83,0.77,51.26
000631,顺发恒能,2.96,2.99,-0.9,0.94,34.59
002601,龙佰集团,15.85,16.0,-0.94,2.06,33.38
000680,山推股份,10.6,10.7,-0.96,2.55,22.35
002623,亚玛顿,15.48,15.63,-0.96,1.93,53.88
002090,金智科技,9.3,9.4,-1.01,2.55,31.39
002489,浙江永强,2.8,2.83,-1.01,2.57,32.53
002728,特一药业,8.97,9.06,-1.01,2.29,37.36
000987,越秀资本,7.69,7.77,-1.06,1.44,36.5
003038,鑫铂股份,10.95,11.07,-1.09,2.59,43.61
000932,华菱钢铁,3.64,3.68,-1.14,2.14,45.67
000652,泰达股份,3.49,3.53,-1.18,0.89,29.07
000401,金隅冀东,3.6,3.64,-1.18,0.53,31.82
002223,鱼跃医疗,25.79,26.1,-1.2,2.05,43.08
000546,金圆股份,4.63,4.69,-1.21,2.62,44.01
002091,江苏国泰,7.71,7.81,-1.22,2.15,20.43
000031,大悦城,2.3,2.33,-1.32,1.73,43.9
000625,长安汽车,7.12,7.22,-1.32,2.79,41.47
000629,钒钛股份,3.0,3.04,-1.32,3.4,33.18
300059,东方财富,19.15,19.41,-1.35,3.27,25.22
002984,森麒麟,13.76,13.96,-1.45,2.53,40.28
000927,中国铁物,2.5,2.54,-1.45,3.16,26.19
002444,巨星科技,30.55,31.02,-1.53,0.87,21.22
002533,金杯电工,11.26,11.44,-1.55,2.77,30.3
002239,奥特佳,2.55,2.59,-1.58,3.45,26.17
000913,钱江摩托,11.2,11.38,-1.61,2.97,30.3
000825,太钢不锈,3.52,3.58,-1.62,1.46,38.79
002218,拓日新能,3.98,4.05,-1.63,2.92,51.34
002007,华兰生物,13.04,13.26,-1.64,1.5,20.87
002296,辉煌科技,9.06,9.22,-1.69,1.92,39.76
002372,伟星新材,8.67,8.82,-1.7,3.42,29.93
001312,福恩股份,17.55,17.85,-1.7,3.0,51.69
002010,传化智联,4.58,4.66,-1.76,2.17,37.17
002287,奇正藏药,19.9,20.27,-1.84,1.78,22.22
001221,悍高集团,39.65,40.4,-1.86,2.66,48.96
000516,国际医学,4.05,4.13,-1.88,2.79,34.57
000726,鲁  泰Ａ,5.91,6.03,-2.04,2.5,25.0
002145,钛能化学,4.28,4.37,-2.05,3.47,25.58
002715,登云股份,14.03,14.33,-2.07,3.32,26.08
002252,上海莱士,4.92,5.03,-2.1,2.72,24.56
002508,老板电器,16.05,16.4,-2.13,2.87,27.05
002148,北纬科技,6.43,6.57,-2.14,3.45,32.81
000761,本钢板材,2.33,2.38,-2.21,3.13,40.71
000877,天山股份,3.73,3.82,-2.23,0.57,35.69
002140,东华科技,9.19,9.4,-2.23,1.6,40.21
002356,鹏飞绿能,2.81,2.87,-2.24,3.46,42.18
002191,劲嘉股份,3.64,3.72,-2.27,2.9,23.53
002439,启明星辰,13.5,13.82,-2.33,2.53,21.28
000708,中信特钢,13.59,13.92,-2.4,2.93,24.05
000993,闽东电力,10.73,11.0,-2.41,2.23,37.21
002060,广东建工,3.18,3.26,-2.41,1.73,24.29
003037,三和管桩,5.82,5.97,-2.45,3.04,34.9
002044,美年健康,4.61,4.73,-2.47,2.99,48.03
002035,华帝股份,4.62,4.74,-2.5,3.29,32.48
