code,name,curr_close,line_price,distance_pct,ma_spread,drop_pct
688639,华恒生物,17.7,17.37,1.91,2.37,59.4
600982,宁波能源,4.88,4.79,1.88,2.33,36.38
601877,正泰电器,25.87,25.4,1.86,1.5,38.59
600131,国网信通,14.88,14.61,1.84,3.8,38.33
002404,嘉欣丝绸,5.87,5.76,1.82,1.72,23.96
601106,中国一重,3.03,2.98,1.76,2.7,54.09
600315,上海家化,18.62,18.33,1.59,2.74,22.77
002053,云南能投,9.43,9.29,1.55,1.85,34.06
002752,昇兴股份,6.2,6.11,1.46,2.95,35.21
603027,千禾味业,7.5,7.39,1.44,1.37,33.8
601456,国联民生,8.93,8.81,1.41,1.45,20.2
300541,先进数通,10.14,10.0,1.4,2.11,39.89
600959,江苏有线,3.14,3.1,1.35,2.69,34.99
601800,中国交建,5.97,5.89,1.28,1.53,32.69
601336,新华保险,62.25,61.5,1.23,3.71,27.49
600210,紫江企业,6.11,6.04,1.18,2.87,25.67
603299,苏盐井神,8.93,8.83,1.15,2.85,29.96
300678,中科信息,22.54,22.29,1.12,2.42,41.44
600710,苏美达,10.7,10.58,1.09,1.4,29.65
002358,森源电气,5.38,5.32,1.05,2.77,43.37
600690,海尔智家,22.0,21.77,1.04,2.98,20.66
002152,广电运通,9.85,9.75,1.01,1.37,31.6
603896,寿仙谷,14.87,14.73,0.98,2.86,35.26
300034,钢研高纳,16.34,16.19,0.95,2.69,35.9
001216,华瓷股份,14.97,14.83,0.93,3.21,33.73
600022,山东钢铁,1.34,1.33,0.9,2.02,26.78
300871,回盛生物,23.17,22.97,0.89,2.87,28.97
605369,拱东医疗,16.91,16.76,0.89,2.21,25.44
688425,铁建重工,4.05,4.02,0.85,2.57,28.06
600170,上海建工,2.28,2.26,0.81,1.43,30.06
600612,老凤祥,33.8,33.55,0.73,3.9,35.2
600518,康美药业,1.38,1.37,0.72,3.01,32.02
688271,联影医疗,108.58,107.83,0.7,3.62,28.09
002232,启明信息,14.8,14.7,0.68,2.71,29.59
300834,星辉环材,41.61,41.33,0.67,3.95,22.27
000541,佛山照明,4.96,4.93,0.64,1.2,24.04
603788,宁波高发,13.7,13.61,0.63,0.9,27.09
600161,天坛生物,12.28,12.21,0.54,1.76,30.15
002526,山东矿机,2.73,2.72,0.51,2.41,33.41
600570,恒生电子,22.03,21.92,0.49,1.56,39.11
601390,中国中铁,4.39,4.37,0.49,1.53,32.15
300531,优博讯,17.06,16.98,0.46,3.39,20.24
603357,设计总院,6.1,6.07,0.46,1.28,31.31
002236,大华股份,16.31,16.24,0.46,1.17,23.79
600609,金杯汽车,3.35,3.34,0.45,2.81,35.45
300047,天源迪科,9.49,9.45,0.43,2.93,43.85
300872,天阳科技,16.04,15.97,0.42,3.22,30.92
600469,风神股份,5.21,5.19,0.42,1.28,36.62
600816,建元信托,2.5,2.49,0.41,0.97,25.37
300406,九强生物,11.78,11.74,0.36,2.22,26.6
600420,国药现代,8.49,8.46,0.34,1.6,23.44
300824,北鼎股份,7.85,7.82,0.34,3.59,36.02
603558,健盛集团,12.24,12.2,0.33,2.72,21.74
