代码,名称,类型,综合评分,双轨收敛,首阳放量,量比,现价,阻力价,偏差(%),均线带宽(%),区间跌幅(%)
688009,中国通号,常规,92.1,是,是,1.31,4.96,4.94,0.37,1.83,20.0
601377,兴业证券,常规,92.0,是,是,1.61,5.96,5.93,0.57,1.64,23.79
605369,拱东医疗,常规,89.5,是,是,1.89,16.91,16.8,0.68,2.21,24.94
600816,建元信托,常规,80.0,是,否,1.13,2.5,2.49,0.41,0.97,25.37
002236,大华股份,常规,79.9,是,否,0.92,16.31,16.27,0.25,1.17,22.45
605011,杭州热电,常规,79.6,是,是,1.65,17.15,17.63,-2.7,2.73,27.79
600299,安迪苏,常规,77.4,否,是,1.37,8.57,8.56,0.1,0.63,47.68
301332,德尔玛,常规,76.2,是,否,1.01,7.85,7.97,-1.56,0.74,20.95
603357,设计总院,常规,75.0,否,是,1.31,6.1,6.08,0.3,1.09,30.29
688581,安杰思,常规,74.3,是,否,0.81,51.06,51.39,-0.63,2.33,30.36
300231,银信科技,常规,74.0,否,是,1.32,8.5,8.52,-0.21,1.48,33.07
002967,广电计量,常规,73.8,否,是,2.0,17.67,17.68,-0.07,1.7,33.24
688570,天玛智控,常规,73.4,是,否,0.75,14.77,14.92,-1.01,2.14,25.89
601696,中银证券,常规,73.3,否,是,1.65,12.12,12.15,-0.24,1.63,25.48
002438,江苏神通,常规,72.8,否,是,6.29,14.53,14.42,0.75,1.2,27.6
002091,江苏国泰,常规,72.6,是,否,1.01,7.71,7.81,-1.22,2.15,20.43
600575,淮河能源,常规,72.3,是,否,1.0,3.29,3.33,-1.28,2.18,25.06
300925,法本信息,常规,72.1,否,是,1.81,14.96,14.91,0.32,1.91,45.1
000799,酒鬼酒,常规,72.0,否,是,1.79,39.38,39.45,-0.17,2.08,35.65
300185,通裕重工,常规,71.8,是,否,1.03,2.7,2.75,-1.68,1.86,38.33
300595,欧普康视,常规,71.7,否,是,1.46,11.04,11.05,-0.12,2.23,35.54
002152,广电运通,常规,71.5,否,是,1.67,9.85,9.76,0.93,1.37,30.63
688566,吉贝尔,常规,71.5,是,否,0.82,25.58,25.94,-1.39,2.28,23.28
002204,大连重工,常规,71.2,否,是,1.26,5.17,5.15,0.35,2.11,36.84
002097,山河智能,常规,70.9,否,是,1.39,7.48,7.53,-0.69,1.8,42.58
600383,金地集团,常规,70.4,否,是,1.31,2.39,2.39,-0.15,2.57,34.52
601688,华泰证券,常规,69.0,是,否,1.06,19.56,19.35,1.07,3.35,22.84
601877,正泰电器,常规,68.2,否,是,1.99,25.87,25.45,1.64,1.5,37.72
300047,天源迪科,常规,68.1,否,是,1.66,9.49,9.45,0.41,2.93,43.8
600072,中船科技,常规,68.0,否,是,2.83,9.07,9.27,-2.19,0.93,37.49
603383,顶点软件,常规,67.9,否,是,2.13,29.25,29.24,0.05,3.4,30.19
300541,先进数通,常规,67.6,否,是,1.6,10.14,10.01,1.26,2.11,39.64
300871,回盛生物,常规,67.6,否,是,1.46,23.17,23.03,0.59,2.87,28.53
002597,金禾实业,常规,67.6,否,是,1.55,21.07,21.18,-0.51,2.96,27.42
600779,水井坊,常规,67.3,否,是,1.42,27.19,27.38,-0.69,2.85,40.37
000422,湖北宜化,常规,67.2,是,否,0.68,12.44,12.54,-0.77,4.2,37.64
300872,天阳科技,常规,67.1,否,是,2.01,16.04,15.97,0.42,3.22,30.92
002439,启明星辰,常规,66.8,是,否,1.22,13.5,13.82,-2.33,2.53,21.28
002302,西部建设,常规,66.4,否,是,1.42,4.78,4.8,-0.45,3.38,29.39
600512,腾达建设,常规,66.1,否,是,1.36,2.08,2.09,-0.41,3.5,22.1
300888,稳健医疗,常规,65.8,否,是,1.27,29.6,29.21,1.33,2.53,24.73
002191,劲嘉股份,常规,65.8,是,否,0.81,3.64,3.72,-2.27,2.9,23.53
600579,中化装备,常规,65.5,是,否,1.83,6.97,7.08,-1.51,3.85,27.85
000625,长安汽车,常规,65.0,否,是,1.71,7.12,7.22,-1.32,2.79,41.47
688271,联影医疗,常规,64.6,否,是,2.15,108.58,107.84,0.69,3.62,28.0
688208,道通科技,常规,64.4,是,否,0.96,25.68,25.29,1.56,4.1,39.07
688639,华恒生物,常规,64.1,否,是,1.31,17.7,17.37,1.91,2.37,59.4
601669,中国电建,常规,63.9,否,是,1.28,4.63,4.54,1.95,2.36,34.65
600496,精工钢构,常规,63.9,否,是,1.29,3.34,3.42,-2.31,1.95,26.91
301558,三态股份,常规,63.8,否,是,1.77,6.63,6.73,-1.55,2.85,34.68
603300,海南华铁,常规,62.6,否,是,1.52,4.9,5.02,-2.36,2.27,42.82
600315,上海家化,常规,62.5,否,是,1.51,18.62,18.34,1.5,3.27,22.12
600210,紫江企业,常规,62.1,否,否,0.59,6.11,6.11,0.07,0.76,22.36
000544,中原环保,常规,62.1,否,否,1.0,7.38,7.4,-0.21,0.58,20.56
603788,宁波高发,常规,61.6,否,否,0.91,13.7,13.69,0.07,0.9,23.85
600446,金证股份,常规,61.5,否,是,1.28,11.18,11.34,-1.38,3.7,38.84
688334,西高院,常规,61.2,否,否,1.5,18.4,18.4,-0.01,1.07,35.5
300098,高新兴,常规,61.1,否,否,0.99,4.49,4.49,0.07,1.03,41.54
001328,登康口腔,常规,61.1,否,是,1.28,30.31,30.66,-1.13,4.11,30.32
300059,东方财富,常规,60.8,否,是,1.29,19.15,19.53,-1.94,3.27,25.52
600559,老白干酒,常规,60.6,否,是,2.07,11.69,11.46,1.97,3.31,31.11
600970,中材国际,常规,60.5,否,否,0.82,7.8,7.8,0.04,1.24,29.92
301575,艾芬达,常规,60.4,否,否,0.76,26.68,26.71,-0.1,1.22,33.54
603656,泰禾智能,常规,60.4,否,否,1.14,17.21,17.31,-0.59,0.66,33.14
301011,华立科技,常规,60.4,否,是,1.33,15.28,15.62,-2.17,3.12,48.71
600469,风神股份,常规,60.0,否,否,0.78,5.21,5.2,0.14,1.28,35.84
601608,中信重工,常规,59.8,否,否,1.18,4.8,4.77,0.72,0.67,43.18
603018,华设集团,常规,59.6,否,否,1.14,5.31,5.25,1.06,0.32,24.06
601065,江盐集团,常规,59.4,否,否,1.16,6.88,6.93,-0.79,0.71,24.89
600050,中国联通,常规,59.3,否,否,0.94,4.25,4.24,0.17,1.43,22.42
601200,上海环境,常规,59.2,否,否,0.82,6.96,6.97,-0.15,1.49,22.97
000541,佛山照明,常规,59.1,否,否,1.28,4.96,4.93,0.57,1.02,23.46
001233,海安集团,常规,59.0,否,否,0.65,44.0,44.37,-0.83,0.77,51.26
001216,华瓷股份,常规,58.6,否,是,1.74,14.97,15.36,-2.54,3.21,32.57
000401,金隅冀东,常规,58.4,否,否,0.94,3.6,3.64,-1.18,0.53,31.82
002268,电科网安,常规,58.3,否,否,1.23,14.22,14.29,-0.49,1.35,40.14
600170,上海建工,常规,58.0,否,否,1.08,2.28,2.27,0.52,1.42,29.3
000877,天山股份,常规,57.9,否,否,0.98,3.73,3.68,1.29,0.57,35.69
600019,宝钢股份,常规,57.8,否,否,0.84,5.86,5.86,-0.01,2.06,20.38
300070,碧水源,常规,57.5,否,否,1.06,3.45,3.44,0.41,1.69,20.06
603809,豪能股份,常规,57.3,否,否,1.76,8.86,8.86,0.05,2.15,42.36
600987,航民股份,常规,57.3,否,否,0.8,6.52,6.56,-0.57,1.55,24.1
000652,泰达股份,常规,57.2,否,否,1.05,3.49,3.53,-1.18,0.89,29.07
600420,国药现代,常规,57.1,否,否,0.94,8.49,8.54,-0.58,1.6,22.04
300926,博俊科技,常规,57.0,否,否,0.94,17.69,17.64,0.3,1.95,47.45
600161,天坛生物,常规,56.9,否,否,1.11,12.28,12.22,0.47,1.76,29.95
000777,中核科技,常规,56.9,否,否,1.19,16.99,16.98,0.04,2.27,45.51
002123,梦网科技,常规,56.5,否,否,0.92,8.24,8.22,0.29,2.1,43.79
688075,安旭生物,常规,56.4,否,否,1.17,29.3,29.12,0.63,1.73,31.62
601866,中远海发,常规,56.4,否,否,0.83,2.44,2.44,-0.06,2.39,24.57
601500,通用股份,常规,56.4,否,否,1.1,3.96,3.98,-0.39,2.01,23.99
600125,铁龙物流,常规,56.3,否,否,1.32,5.43,5.5,-1.19,1.13,23.62
600104,上汽集团,常规,56.2,否,否,1.17,10.47,10.44,0.29,2.18,33.34
300287,飞利信,常规,56.1,否,否,1.0,3.68,3.7,-0.43,2.07,39.27
002736,国信证券,常规,56.1,否,否,1.01,10.26,10.34,-0.78,1.65,24.17
688357,建龙微纳,常规,56.1,否,否,1.05,26.53,26.84,-1.15,1.23,31.76
601908,京运通,常规,56.0,否,否,0.93,2.97,2.96,0.29,2.24,44.49
300284,苏交科,常规,56.0,否,否,1.41,5.2,5.2,0.07,2.48,39.71
603309,维力医疗,常规,56.0,否,否,1.17,11.27,11.27,-0.02,2.54,30.09
301283,聚胶股份,常规,56.0,否,否,1.1,25.01,25.15,-0.57,1.92,41.73
002444,巨星科技,常规,55.8,否,否,0.65,30.55,31.02,-1.53,0.87,21.22
603551,奥普科技,常规,55.7,否,否,0.78,9.57,9.62,-0.48,2.1,25.12
600787,中储股份,常规,55.6,否,否,0.97,4.59,4.57,0.47,2.14,21.77
301097,天益医疗,常规,55.6,否,否,1.2,34.59,34.65,-0.17,2.5,25.35
300918,南山智尚,常规,55.4,否,否,1.16,10.57,10.57,-0.01,2.72,50.78
600507,方大特钢,常规,55.3,否,否,0.8,4.26,4.22,0.87,1.78,40.75
002510,天汽模,常规,55.3,否,否,0.96,5.72,5.75,-0.58,2.1,37.07
601800,中国交建,常规,54.9,否,否,1.15,5.97,5.9,1.21,1.51,32.11
002276,万马股份,常规,54.7,否,否,1.73,10.4,10.29,1.02,1.78,44.31
600708,光明地产,常规,54.6,否,否,1.21,3.04,3.04,0.07,2.89,35.32
603027,千禾味业,常规,54.5,否,否,1.02,7.5,7.44,0.87,2.0,32.74
600587,新华医疗,常规,54.4,否,否,0.9,12.67,12.5,1.35,1.5,26.21
600022,山东钢铁,常规,54.3,否,否,0.88,1.34,1.33,0.9,2.02,26.78
301386,未来电器,常规,54.3,否,否,1.06,20.23,20.35,-0.6,2.37,30.48
000557,西部创业,常规,54.2,否,否,0.97,3.73,3.76,-0.75,2.22,30.02
600558,大西洋,常规,54.2,否,否,0.65,4.8,4.86,-1.29,1.62,29.72
605259,绿田机械,常规,54.1,否,否,0.93,17.73,18.05,-1.79,1.06,25.69
600375,汉马科技,常规,54.0,否,否,0.84,3.83,3.85,-0.59,2.48,41.53
601628,中国人寿,常规,53.9,否,否,0.8,39.17,39.31,-0.36,2.75,23.65
600839,四川长虹,常规,53.9,否,否,0.91,6.95,7.03,-1.14,1.87,37.95
600797,浙大网新,常规,53.8,否,否,1.11,6.96,6.99,-0.39,2.75,41.81
002526,山东矿机,常规,53.7,否,否,1.37,2.73,2.71,0.61,2.53,33.25
000709,河钢股份,常规,53.7,否,否,1.05,2.1,2.11,-0.32,2.88,21.64
300092,科新机电,常规,53.6,否,否,0.88,11.76,11.67,0.73,2.41,42.49
603848,好太太,常规,53.6,否,否,0.87,13.56,13.62,-0.48,2.71,35.98
600609,金杯汽车,常规,53.5,否,否,1.06,3.35,3.34,0.41,2.81,35.17
300636,同和药业,常规,53.5,否,否,1.08,6.83,6.85,-0.28,2.98,22.91
002959,小熊电器,常规,53.4,否,否,1.08,32.42,32.58,-0.51,2.73,29.45
000825,太钢不锈,常规,53.4,否,否,0.97,3.52,3.58,-1.62,1.46,38.79
600528,中铁工业,常规,53.2,否,否,1.23,6.96,6.85,1.64,1.49,26.81
002007,华兰生物,常规,53.2,否,否,0.96,13.04,13.26,-1.64,1.5,20.87
600905,三峡能源,常规,53.1,否,否,0.87,3.68,3.69,-0.31,3.06,20.5
002728,特一药业,常规,52.9,否,否,0.91,8.97,9.06,-1.01,2.29,37.36
600010,包钢股份,常规,52.9,否,否,0.83,2.21,2.26,-2.36,0.78,35.19
688389,普门科技,常规,52.8,否,否,0.87,11.18,11.16,0.19,3.27,21.7
300389,艾比森,常规,52.8,否,否,1.19,12.85,12.85,-0.03,3.47,41.59
601686,友发集团,常规,52.7,否,否,0.94,5.24,5.29,-0.96,2.43,20.49
002053,云南能投,常规,52.6,否,否,1.22,9.43,9.29,1.48,1.85,33.45
603535,嘉诚国际,常规,52.5,否,否,0.94,6.4,6.32,1.25,2.15,45.53
603299,苏盐井神,常规,52.5,否,否,0.67,8.93,8.86,0.8,2.67,28.55
600218,全柴动力,常规,52.4,否,否,0.83,7.71,7.65,0.75,2.75,38.37
301229,纽泰格,常规,52.4,否,否,1.27,12.31,12.33,-0.15,3.43,49.34
300678,中科信息,常规,52.2,否,否,0.96,22.54,22.3,1.08,2.42,41.35
600633,浙数文化,常规,52.2,否,否,1.18,10.47,10.52,-0.46,3.14,40.58
000680,山推股份,常规,52.2,否,否,1.03,10.6,10.7,-0.96,2.55,22.35
603868,飞科电器,常规,52.1,否,否,0.79,31.69,32.1,-1.28,2.23,28.79
301559,中集环科,常规,52.1,否,否,1.1,13.09,13.28,-1.4,2.09,31.97
002090,金智科技,常规,52.0,否,否,1.27,9.3,9.4,-1.01,2.55,31.39
600502,安徽建工,常规,52.0,否,否,0.82,4.46,4.51,-1.15,2.41,25.91
002206,海 利 得,常规,51.9,否,否,0.7,5.27,5.41,-2.59,0.79,28.5
300034,钢研高纳,常规,51.8,否,否,1.28,16.34,16.19,0.94,2.69,35.81
600269,赣粤高速,常规,51.8,否,否,1.19,3.92,3.95,-0.67,3.02,24.76
002404,嘉欣丝绸,常规,51.7,否,否,0.91,5.87,5.76,1.82,1.72,23.96
605507,国邦医药,常规,51.6,否,否,1.24,15.58,15.34,1.59,2.02,25.76
003038,鑫铂股份,常规,51.6,否,否,1.12,10.95,11.07,-1.09,2.59,43.61
688425,铁建重工,常规,51.5,否,否,1.07,4.05,3.98,1.67,1.95,26.97
603051,鹿山新材,常规,51.5,否,否,0.95,21.18,21.16,0.11,3.72,29.33
002287,奇正藏药,常规,51.4,否,否,0.93,19.9,20.27,-1.84,1.78,22.22
300018,中元股份,常规,51.3,否,否,0.7,11.94,12.0,-0.48,3.36,26.57
002252,上海莱士,常规,51.3,否,否,0.85,4.92,4.97,-1.03,2.72,24.56
300743,天地数码,常规,51.2,否,否,1.18,14.78,15.08,-1.97,1.7,37.21
603896,寿仙谷,常规,51.1,否,否,0.6,14.87,14.73,0.98,2.86,35.26
002752,昇兴股份,常规,51.1,否,否,1.23,6.2,6.14,0.91,2.95,34.53
600983,惠而浦,常规,51.1,否,否,0.88,7.61,7.72,-1.36,2.42,37.37
601881,中国银河,常规,51.0,否,否,1.03,12.43,12.24,1.54,2.24,23.86
600612,老凤祥,常规,50.9,否,否,0.83,33.8,33.84,-0.12,3.9,33.52
603708,家家悦,常规,50.9,否,否,1.1,9.42,9.59,-1.79,1.98,32.76
603877,太平鸟,常规,50.9,否,否,0.65,12.69,12.96,-2.11,1.6,27.36
600675,中华企业,常规,50.8,否,否,1.07,2.32,2.31,0.52,3.46,23.53
000881,中广核技,常规,50.8,否,否,0.88,6.64,6.69,-0.81,3.13,31.48
300341,麦克奥迪,常规,50.7,否,否,0.97,12.93,13.31,-2.82,0.86,34.8
600635,大众公用,常规,50.6,否,否,1.37,4.72,4.72,0.05,4.07,35.61
603210,泰鸿万立,常规,50.6,否,否,1.14,13.56,13.94,-2.72,1.0,33.44
000778,新兴铸管,常规,50.5,否,否,1.08,3.71,3.64,1.86,2.01,29.27
002178,延华智能,常规,50.4,否,否,1.06,4.69,4.73,-0.8,3.26,36.1
603312,西典新能,常规,50.4,否,否,1.21,31.99,32.27,-0.86,3.19,39.58
002010,传化智联,常规,50.4,否,否,0.79,4.58,4.66,-1.76,2.17,37.17
601336,新华保险,常规,50.3,否,否,0.93,62.25,61.54,1.15,2.88,25.71
601868,中国能建,常规,50.3,否,否,1.08,2.48,2.46,1.01,3.06,36.56
002984,森麒麟,常规,50.3,否,否,0.95,13.76,13.96,-1.45,2.53,40.28
002351,漫步者,常规,50.0,否,否,0.84,10.14,10.22,-0.77,3.41,23.88
300496,中科创达,常规,50.0,否,否,1.1,59.05,59.63,-0.98,3.16,33.86
002116,中国海诚,常规,49.8,否,否,1.12,7.32,7.25,1.01,3.19,21.79
002454,松芝股份,常规,49.7,否,否,1.02,5.11,5.15,-0.82,3.43,34.32
002182,宝武镁业,常规,49.6,否,否,1.25,12.0,12.02,-0.18,4.2,48.14
002583,海能达,常规,49.6,否,否,0.87,8.49,8.54,-0.57,3.75,31.81
600518,康美药业,常规,49.6,否,否,0.95,1.38,1.4,-1.21,3.01,32.02
002358,森源电气,常规,49.5,否,否,1.44,5.38,5.3,1.44,2.77,43.25
301109,军信股份,常规,49.5,否,否,0.92,12.97,13.03,-0.45,3.93,27.39
300239,东宝生物,常规,49.5,否,否,0.95,5.09,5.19,-1.91,2.26,25.24
002101,广东鸿图,常规,49.5,否,否,1.05,8.73,8.98,-2.84,1.18,31.52
301296,新巨丰,常规,49.4,否,否,1.18,6.46,6.55,-1.33,2.94,29.4
600742,富维股份,常规,49.3,否,否,0.68,7.76,7.71,0.71,3.68,31.81
301215,中汽股份,常规,49.3,否,否,1.09,5.36,5.44,-1.42,2.87,27.16
002060,广东建工,常规,49.3,否,否,1.03,3.18,3.26,-2.41,1.73,24.29
600960,渤海汽车,常规,49.1,否,否,0.89,4.04,4.08,-0.89,3.52,36.78
002533,金杯电工,常规,49.1,否,否,1.67,11.26,11.44,-1.55,2.77,30.3
600157,永泰能源,常规,49.1,否,否,0.76,1.55,1.59,-2.45,1.76,26.19
