代码,名称,形态阶段,综合评分,时间共振,周期详情,双线共振,波浪穷竭,最大跌幅(%),双轨收敛,首阳放量,量比,现价,宏观阻力价,次级阻力价,偏差(%),均线带宽(%),类型
601377,兴业证券,突破初现,84.5,是,Fib-55x3(165K),是,否,29.4,是,是,1.61,5.96,5.93,5.83,0.57,1.64,新股
600779,水井坊,回踩确认,76.2,是,Fib-144K,是,是,43.1,否,是,1.42,27.19,27.38,27.51,-0.69,2.85,新股
688009,中国通号,突破初现,74.5,否,无,是,否,26.1,是,是,1.31,4.96,4.94,5.0,0.37,1.83,新股
600299,安迪苏,回踩确认,73.2,否,无,是,是,53.7,否,是,1.37,8.57,8.56,8.56,0.1,0.63,新股
605369,拱东医疗,回踩确认,72.8,否,无,是,否,34.5,是,是,1.89,16.91,16.8,16.83,0.68,2.21,新股
300231,银信科技,回踩确认,70.8,是,Fib-55x2(110K),否,是,42.9,否,是,1.32,8.5,8.52,0.0,-0.21,1.48,新股
601696,中银证券,临界变盘,70.3,是,Fib-55x3(165K),是,否,36.3,否,是,1.65,12.12,12.15,11.9,-0.24,1.63,新股
002438,江苏神通,突破初现,70.1,否,无,是,是,42.7,否,是,6.29,14.53,14.42,14.5,0.75,1.2,新股
300132,诺斯贝尔,回踩确认,70.0,是,Fib-89K,是,是,45.5,是,否,1.24,6.36,6.23,6.3,2.05,3.98,新股
300925,法本信息,突破初现,69.4,否,无,是,是,51.1,否,是,1.81,14.96,14.91,14.81,0.32,1.91,新股
000799,酒鬼酒,回踩确认,69.2,否,无,是,是,46.3,否,是,1.79,39.38,39.47,39.45,-0.23,2.08,新股
002204,大连重工,回踩确认,68.8,否,无,是,是,39.3,否,是,1.26,5.17,5.15,5.13,0.35,2.11,新股
600702,舍得酒业,回踩确认,68.3,否,无,是,是,53.1,否,是,1.56,35.66,35.7,35.76,-0.11,2.57,新股
601877,正泰电器,回踩确认,67.1,否,无,是,是,43.9,否,是,1.99,25.87,25.45,25.37,1.64,1.5,新股
300541,先进数通,回踩确认,66.6,否,无,是,是,45.1,否,是,1.6,10.14,10.01,10.08,1.26,2.11,新股
600469,风神股份,回踩确认,66.4,是,Fib-144K,是,是,39.0,否,否,0.78,5.21,5.2,5.25,0.14,1.28,新股
603383,顶点软件,临界变盘,66.4,否,无,是,是,39.9,否,是,2.13,29.25,29.24,29.6,0.05,3.4,新股
300871,回盛生物,回踩确认,66.3,否,无,是,是,39.7,否,是,1.46,23.17,23.03,23.34,0.59,2.87,新股
300185,通裕重工,回踩确认,66.1,否,无,是,是,41.8,是,否,1.03,2.7,2.75,2.68,-1.68,1.86,新股
300872,天阳科技,突破初现,65.9,否,无,是,是,40.9,否,是,2.01,16.04,15.97,15.63,0.42,3.22,新股
000625,长安汽车,临界变盘,64.7,否,无,是,是,46.2,否,是,1.71,7.12,7.22,7.05,-1.32,2.79,新股
300888,稳健医疗,突破初现,64.5,否,无,是,是,39.8,否,是,1.27,29.6,29.11,29.48,1.67,2.53,新股
