代码,名称,类型,形态阶段,综合评分,时间共振,周期详情,双线共振,波浪穷竭,最大跌幅(%),双轨收敛,首阳放量,量比,现价,宏观阻力价,次级阻力价,偏差(%),均线带宽(%)
601377,兴业证券,次新,突破初现,96.4,是,Fib-55x3(165K),是,是,29.4,是,是,1.61,5.96,5.93,5.82,0.57,0.86
688009,中国通号,次新,突破初现,87.4,否,无,是,是,26.1,是,是,1.31,4.96,4.94,5.0,0.37,0.67
605369,拱东医疗,次新,回踩确认,82.8,否,无,是,是,34.5,是,是,1.89,16.91,16.8,16.83,0.68,2.21
601696,中银证券,次新,临界变盘,80.9,是,Fib-55x3(165K),是,是,36.3,否,是,1.65,12.12,12.15,11.9,-0.24,1.41
002120,韵达股份,次新,临界变盘,78.2,是,Fib-89K,是,是,25.7,是,否,0.91,6.87,6.95,6.87,-1.15,1.57
600779,水井坊,次新,回踩确认,76.8,是,Fib-144K,是,是,43.1,否,是,1.42,27.19,27.38,27.51,-0.69,2.61
605011,杭州热电,次新,临界变盘,76.4,否,无,是,是,36.4,是,是,1.65,17.15,17.63,16.59,-2.7,2.73
600639,浦东金桥,次新,突破初现,76.3,否,无,是,否,22.6,是,是,1.25,9.58,9.47,9.58,1.15,0.32
300132,诺斯贝尔,次新,回踩确认,75.9,是,Fib-89K,是,是,45.5,是,否,1.24,6.36,6.23,6.3,2.05,1.58
300531,优博讯,次新,突破初现,75.3,否,无,否,是,32.9,是,是,2.19,17.06,16.99,0.0,0.43,1.45
000993,闽东电力,次新,临界变盘,73.4,是,Fib-55x2(110K),是,是,47.3,否,是,2.86,10.73,11.0,10.99,-2.41,2.23
600299,安迪苏,次新,回踩确认,73.2,否,无,是,是,53.7,否,是,1.37,8.57,8.56,8.56,0.1,0.63
300925,法本信息,次新,突破初现,71.9,否,无,是,是,51.1,否,是,1.81,14.96,14.91,14.81,0.32,0.91
605098,XD行动教,次新,临界变盘,71.9,否,无,是,是,27.2,是,否,1.16,57.18,57.5,57.62,-0.56,0.7
600816,建元信托,次新,回踩确认,71.5,否,无,是,是,29.6,是,否,1.13,2.5,2.49,2.53,0.41,0.97
603357,设计总院,次新,突破初现,71.5,否,无,是,是,35.4,否,是,1.31,6.1,6.08,6.08,0.3,1.09
601677,明泰铝业,次新,回踩确认,71.0,否,无,是,是,25.5,是,否,0.99,16.65,16.79,16.86,-0.86,0.73
300231,银信科技,次新,回踩确认,70.8,是,Fib-55x2(110K),否,是,42.9,否,是,1.32,8.5,8.52,0.0,-0.21,1.48
002438,江苏神通,次新,突破初现,70.1,否,无,是,是,42.7,否,是,6.29,14.53,14.42,14.5,0.75,1.2
603193,润本股份,次新,突破初现,70.0,否,无,否,是,33.0,是,是,2.08,21.84,21.19,0.0,3.08,0.94
